id,created_at,source_title,channel,context,text,tone_labels,risk_labels,is_synthetic,window_sentences,notes
TRB_C_0001,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Start Optimization,direct,hustle_language,True,1,❌ negative example
TRB_C_0002,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Begin Regulation,reflective|regulation_focused|warm,,True,1,✅ positive example
TRB_C_0003,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Fix Your State,direct|state_based,fixing_language,True,1,❌ negative example
TRB_C_0004,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Support Your State,reflective|regulation_focused|state_based|warm,,True,1,✅ positive example
TRB_C_0005,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Push Through,direct,performance_framing,True,1,❌ negative example
TRB_C_0006,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Move Gently,reflective|regulation_focused|warm,,True,1,✅ positive example
TRB_C_0007,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Boost Productivity,direct,performance_framing,True,1,❌ negative example
TRB_C_0008,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Support Sustainable Output,reflective|regulation_focused|warm,performance_framing,True,1,✅ positive example
TRB_C_0009,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Improve Performance,direct,performance_framing,True,1,❌ negative example
TRB_C_0010,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Support Presence,reflective|regulation_focused|warm,,True,1,✅ positive example
TRB_C_0011,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Control Your Mood,direct,performance_framing,True,1,❌ negative example
TRB_C_0012,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Support Regulation at Your Pace,capacity_honoring|reflective|regulation_focused|warm,,True,1,✅ positive example
TRB_C_0013,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Hack Your Routine,direct,hustle_language,True,1,❌ negative example
TRB_C_0014,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Build Consistency with Care,warm|reflective,,True,1,✅ positive example
TRB_C_0015,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Optimize Your Day,direct,hustle_language,True,1,❌ negative example
TRB_C_0016,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Meet Your Capacity Today,capacity_honoring|reflective|warm,,True,1,✅ positive example
TRB_C_0017,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Fix Your Dysregulation,direct,fixing_language,True,1,❌ negative example
TRB_C_0018,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Support Regulation Without Force,reflective|regulation_focused|warm,,True,1,✅ positive example
TRB_C_0019,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Push for Results,direct,performance_framing,True,1,❌ negative example
TRB_C_0020,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Allow What’s Possible Right Now,capacity_honoring|reflective|warm,urgency_pressure,True,1,✅ positive example
TRB_C_0021,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Your input shows dysregulation.,direct|signal_based,performance_framing,True,1,❌ negative example
TRB_C_0022,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Your system is sending signals.,reflective|signal_based|warm,,True,1,✅ positive example
TRB_C_0023,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,You need to calm down.,direct,fixing_language,True,1,❌ negative example
TRB_C_0024,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Support regulation at your pace.,capacity_honoring|reflective|regulation_focused|warm,,True,1,✅ positive example
TRB_C_0025,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,You must do this now.,direct,urgency_pressure,True,1,❌ negative example
TRB_C_0026,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,You can choose what fits right now.,capacity_honoring|reflective|warm,urgency_pressure,True,1,✅ positive example
TRB_C_0027,2026-02-04,Contrastive Training (TRB Language Rules),Internal,TRB / SYNCstate language guardrails,Your state is a problem to fix.,direct|state_based,fixing_language,True,1,❌ negative example
